CONTESTANT,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10
BRYAN_A,R1,,,R,R,,R,,,W,,,D6,D13,D1,D7,D1,D1,D1,D1
PETER_K,,R,,,,R,R,,,E,,D1,D6,D13,D9,D7,D1,D1,D1,D1
ERIC_B,,,R,,,R,R,,E,,,D10,D8,D13,D9,D1,D3,D1,D1,
DEAN_U,,R,,R,,,R,E,,,,D8,D8,D1,D9,D7,D1,D1,,
ADAM_G,,,,,,,ED,,,,,D10,D8,D13,D9,D7,D3,,,
MATT_M,,,,,,,ED,,,,,D10,,D13,D9,D7,D3,,,
ALEX_B,,,R,,,E,,,,,,D10,D6,D13,D9,D7,,,,
WILL_G,,,,,R,ED,,,,,,D10,D6,D13,D9,D1,,,,
KENNY_L,,,,,R,ED,,,,,,D8,D8,D13,D2,D7,,,,
ANTHONY_B,,,R,,E,,,,,,,,D1,D13,D9,,,,,
JOSIAH_G,,R,,,E,,,,,,,D10,,D13,D9,,,,,
LEE_G,,,,,ED,,,,,,,D10,D8,D13,D2,,,,,
IGGY_R,,,,E,,,,,,,,D8,,D13,,,,,,
JONATHAN_T,,,,E,,,,,,,,D8,D6,D13,,,,,,
JACK_S,,,,ED,,,,,,,,D8,D8,D1,,,,,,
BRADY_E,,,E,,,,,,,,,,D8,,,,,,,
BRYCE_P,,,E,,,,,,,,,,D8,,,,,,,
DIGGY_M,,,E,,,,,,,,,D10,,,,,,,,
FRED_J,,,ED,,,,,,,,,D8,D6,,,,,,,
BLAKE_E,,E,,,,,,,,,,D8,,,,,,,,
JAMEY_K,,E,,,,,,,,,,D10,,,,,,,,
LUCAS_Y,,E,,,,,,,,,,D8,,,,,,,,
DEMARIO_J,,EU,,,,,,,,,,D10,,,,,,,,
BLAKE_K,E,,,,,,,,,,,,,,,,,,,
GRANT_H,E,,,,,,,,,,,,,,,,,,,
JEDIDIAH_B,E,,,,,,,,,,,,,,,,,,,
KYLE_S,E,,,,,,,,,,,,,,,,,,,
MICHAEL_B,E,,,,,,,,,,,,,,,,,,,
MILTON_L,E,,,,,,,,,,,,,,,,,,,
MOHIT_S,E,,,,,,,,,,,,,,,,,,,
ROB_H,E,,,,,,,,,,,,,,,,,,,
